id_venda,data_hora,categoria,produto,quantidade,valor_unitario
31,2016-12-01 09:40:29,Bolo de Pote,Bolo de pote morango,2,8.33
32,2020-12-05 15:23:42,Bolo Tradicional,Bolo de milho,1,16.88
33,2023-09-16 11:22:02,Bolo de Pote,Bolo de pote brigadeiro,3,11.06
34,2021-01-01 18:14:26,Bolo de Festa,Bolo dois amores,2,90.99
35,2019-08-22 15:36:15,Bolo de Pote,Bolo de pote chocolate,3,14.12
36,2020-09-05 11:16:14,Bolo Tradicional,Bolo de milho,1,19.18
37,2023-01-13 10:27:44,Bolo Tradicional,Bolo de milho,1,15.15
38,2018-11-01 08:30:44,Bolo de Festa,Bolo de aniversário morango,2,129.88
39,2022-04-15 14:58:21,Bebida,Chá gelado,1,3.89
40,2019-09-03 20:32:01,Bolo Tradicional,Bolo de laranja,1,18.87
41,2019-03-19 12:15:52,Bolo Tradicional,Bolo de milho,2,17.02
42,2018-04-07 14:04:30,Bolo de Pote,Bolo de pote churros,2,12.65
43,2024-01-10 21:17:03,Bolo Tradicional,Bolo de cenoura,1,23.74
44,2022-10-11 15:08:07,Salgado,Quibe,2,7.15
45,2023-07-16 08:36:09,Bolo Tradicional,Bolo de chocolate,1,22.3
46,2018-05-04 09:19:04,Bolo de Pote,Bolo de pote prestígio,2,9.41
47,2020-02-22 09:32:35,Bolo Tradicional,Bolo de fubá,1,21.36
48,2017-10-21 09:21:29,Bolo Tradicional,Bolo de milho,1,20.83
49,2024-03-29 10:34:12,Bolo Tradicional,Bolo de laranja,2,19.18
50,2020-11-03 19:06:54,Bolo de Festa,Bolo de aniversário morango,2,106.45
51,2025-07-10 18:01:58,Bolo de Pote,Bolo de pote morango,1,10.42
52,2024-03-14 09:41:23,Bolo Tradicional,Bolo de laranja,2,16.34
53,2018-02-01 10:41:47,Salgado,Esfiha,1,6.49
54,2021-09-13 21:48:58,Salgado,Coxinha,3,6.64
55,2025-06-13 09:18:18,Bebida,Chá gelado,2,3.36
56,2021-09-02 20:00:54,Bolo Tradicional,Bolo de chocolate,2,20.99
57,2022-03-21 19:57:51,Bebida,Água mineral,1,3.02
58,2021-05-12 08:27:18,Bolo Tradicional,Bolo de laranja,1,21.96
59,2021-12-28 08:36:29,Bolo de Pote,Bolo de pote morango,1,9.57
60,2020-02-19 14:14:50,Bolo de Festa,Bolo de aniversário chocolate,1,129.42
61,2017-04-04 15:14:10,Bolo Tradicional,Bolo de fubá,1,23.73
62,2016-10-26 17:16:49,Bebida,Suco natural,1,6.04
63,2024-08-25 13:04:37,Bolo de Festa,Bolo de aniversário chocolate,2,128.83
64,2021-09-21 19:26:00,Bebida,Chá gelado,1,5.93
65,2022-06-26 10:39:31,Bolo Tradicional,Bolo de fubá,3,17.59
66,2024-06-02 11:54:19,Bolo de Pote,Bolo de pote chocolate,1,12.58
67,2025-01-24 17:45:10,Bolo Tradicional,Bolo de fubá,5,18.54
68,2024-09-23 14:15:40,Bolo Tradicional,Bolo de fubá,5,18.85
69,2021-09-14 14:55:33,Bolo Tradicional,Bolo de cenoura,1,19.52
70,2018-10-24 16:09:47,Salgado,Esfiha,5,6.25
71,2021-09-29 09:51:37,Bolo de Pote,Bolo de pote morango,3,9.12
72,2023-11-25 21:42:19,Bolo Tradicional,Bolo de chocolate,1,23.84
73,2022-08-23 16:17:30,Salgado,Pão de queijo,4,8.3
74,2018-06-16 11:08:37,Bolo Tradicional,Bolo de chocolate,1,20.97
75,2025-04-13 09:01:04,Bolo Tradicional,Bolo de chocolate,1,17.82
76,2020-04-28 14:29:58,Bolo de Pote,Bolo de pote morango,2,12.04
77,2018-05-28 14:00:24,Salgado,Pão de queijo,1,9.24
78,2023-07-31 12:07:52,Bolo de Festa,Bolo de aniversário chocolate,1,113.74
79,2020-11-28 09:51:45,Bolo Tradicional,Bolo de laranja,4,16.83
80,2020-03-01 19:35:40,Bolo Tradicional,Bolo de fubá,5,22.23
81,2019-09-24 20:45:43,Bebida,Chá gelado,2,7.91
82,2022-12-29 11:33:16,Bolo de Pote,Bolo de pote brigadeiro,1,9.67
83,2020-07-10 18:49:21,Bolo de Festa,Bolo dois amores,4,85.0
84,2020-11-14 13:20:30,Bolo Tradicional,Bolo de laranja,1,23.4
85,2024-02-16 08:24:57,Bebida,Suco natural,4,3.08
86,2020-02-07 08:45:49,Bolo Tradicional,Bolo de laranja,1,20.56
87,2017-06-05 11:24:26,Bolo de Pote,Bolo de pote prestígio,3,11.66
88,2022-05-29 21:50:18,Bebida,Suco natural,2,7.87
89,2024-07-10 18:04:39,Bolo de Festa,Bolo floresta negra,5,111.59
90,2022-10-05 11:08:43,Salgado,Empada,3,5.25
91,2024-08-19 16:38:57,Bolo de Festa,Bolo de aniversário chocolate,3,118.15
92,2025-05-09 17:55:22,Bolo de Pote,Bolo de pote morango,2,13.29
93,2023-03-19 21:55:40,Bolo de Festa,Bolo de aniversário chocolate,3,82.1
94,2023-08-16 18:06:36,Salgado,Coxinha,2,8.03
95,2017-09-13 12:59:33,Bolo de Pote,Bolo de pote prestígio,1,11.15
96,2024-06-17 14:49:19,Bolo Tradicional,Bolo de milho,2,17.23
97,2017-09-29 15:19:57,Bolo de Pote,Bolo de pote morango,1,9.48
98,2019-12-06 14:30:08,Bolo Tradicional,Bolo de fubá,3,22.69
99,2022-06-24 16:20:26,Bolo Tradicional,Bolo de milho,1,18.56
100,2017-02-23 17:32:41,Bolo de Pote,Bolo de pote chocolate,5,11.63
101,2024-07-08 18:27:18,Bolo Tradicional,Bolo de fubá,1,16.46
102,2023-04-01 08:20:40,Salgado,Pão de queijo,1,8.42
103,2024-01-11 08:20:02,Bolo de Pote,Bolo de pote brigadeiro,4,12.1
104,2024-01-05 19:29:03,Bolo Tradicional,Bolo de laranja,1,15.26
105,2017-07-06 08:33:11,Bolo Tradicional,Bolo de milho,1,15.91
106,2023-04-30 18:35:29,Bolo de Festa,Bolo floresta negra,2,104.74
107,2022-10-29 14:29:48,Bolo Tradicional,Bolo de laranja,1,15.76
108,2017-01-29 16:10:34,Bolo de Pote,Bolo de pote prestígio,1,11.47
109,2025-07-10 20:21:38,Bolo de Festa,Bolo de casamento,2,102.6
110,2022-11-23 14:04:55,Bolo Tradicional,Bolo de fubá,4,24.56
111,2019-04-09 17:39:27,Bolo de Festa,Bolo de aniversário morango,1,97.42
112,2024-01-04 17:21:45,Bolo Tradicional,Bolo de laranja,1,20.41
113,2018-02-22 09:39:30,Bolo de Pote,Bolo de pote morango,1,8.5
114,2017-07-22 14:50:45,Bolo Tradicional,Bolo de cenoura,1,16.51
115,2023-11-29 11:11:58,Bolo de Pote,Bolo de pote churros,1,10.62
116,2025-06-23 13:27:52,Bolo Tradicional,Bolo de cenoura,1,22.6
117,2023-09-21 18:16:32,Bolo Tradicional,Bolo de milho,2,23.33
118,2023-02-02 19:42:57,Bolo Tradicional,Bolo de milho,3,22.15
119,2022-08-22 16:43:07,Bolo Tradicional,Bolo de fubá,1,22.25
120,2020-04-23 18:10:42,Bebida,Chá gelado,1,3.73
121,2019-01-24 09:56:35,Bolo Tradicional,Bolo de laranja,2,18.38
122,2023-04-24 10:07:11,Bolo de Pote,Bolo de pote chocolate,1,13.93
123,2021-01-31 08:11:55,Bolo de Pote,Bolo de pote brigadeiro,2,12.54
124,2025-03-13 12:24:04,Bolo Tradicional,Bolo de cenoura,1,23.79
125,2021-05-13 11:37:13,Bebida,Refrigerante,1,7.82
126,2018-07-30 20:42:05,Bebida,Refrigerante,1,3.55
127,2021-03-03 16:44:22,Bolo Tradicional,Bolo de chocolate,1,15.06
128,2017-11-04 21:01:37,Bolo Tradicional,Bolo de laranja,3,15.36
129,2019-10-29 14:57:44,Bolo de Pote,Bolo de pote prestígio,4,8.56
130,2021-05-19 15:54:48,Bolo de Pote,Bolo de pote churros,1,9.25
131,2016-12-27 20:32:04,Bolo Tradicional,Bolo de fubá,2,17.54
132,2021-03-05 18:55:33,Bolo Tradicional,Bolo de chocolate,1,17.36
133,2020-01-29 12:22:01,Bolo de Festa,Bolo de aniversário chocolate,2,123.51
134,2024-03-02 11:26:48,Bolo de Pote,Bolo de pote chocolate,2,9.3
135,2025-08-09 14:57:17,Bolo Tradicional,Bolo de laranja,1,17.12
136,2021-07-29 09:23:17,Bolo de Festa,Bolo de aniversário chocolate,1,86.23
137,2025-07-05 17:36:14,Bolo Tradicional,Bolo de laranja,1,23.39
138,2020-04-30 11:20:23,Bebida,Refrigerante,1,4.47
139,2022-03-02 19:02:57,Bolo Tradicional,Bolo de chocolate,2,17.45
140,2023-05-08 08:15:03,Bolo de Festa,Bolo de aniversário morango,4,96.07
141,2017-08-09 11:19:30,Bolo Tradicional,Bolo de laranja,2,16.47
142,2016-11-15 21:47:26,Bolo Tradicional,Bolo de chocolate,1,20.51
143,2016-11-04 14:44:49,Bolo de Pote,Bolo de pote churros,1,10.27
144,2017-11-23 18:09:32,Bolo Tradicional,Bolo de cenoura,1,20.15
145,2019-05-25 09:54:27,Bebida,Chá gelado,2,5.57
146,2016-11-18 12:27:11,Salgado,Esfiha,1,9.11
147,2025-06-28 08:24:28,Bolo Tradicional,Bolo de laranja,1,24.47
148,2025-01-21 08:13:25,Bolo Tradicional,Bolo de fubá,2,23.2
149,2018-07-20 20:29:06,Bolo Tradicional,Bolo de cenoura,1,17.84
150,2023-05-06 19:52:48,Salgado,Empada,1,9.04
151,2020-06-09 09:59:57,Bolo Tradicional,Bolo de fubá,1,22.64
152,2018-10-28 18:18:44,Bolo Tradicional,Bolo de fubá,1,21.64
153,2020-06-02 12:47:21,Bebida,Refrigerante,1,4.38
154,2019-03-22 12:28:28,Bolo de Festa,Bolo de aniversário morango,1,120.96
155,2024-11-11 20:28:36,Bolo Tradicional,Bolo de chocolate,1,21.58
156,2018-02-18 18:58:11,Bolo de Pote,Bolo de pote brigadeiro,1,13.41
157,2018-05-15 11:18:57,Bolo de Pote,Bolo de pote brigadeiro,1,14.83
158,2025-05-11 16:48:19,Bolo Tradicional,Bolo de cenoura,4,20.98
159,2020-07-02 08:15:14,Bolo Tradicional,Bolo de laranja,1,21.05
160,2018-07-21 10:31:38,Bolo Tradicional,Bolo de fubá,1,24.08
161,2024-11-18 16:23:21,Bebida,Refrigerante,2,6.96
162,2018-12-09 11:20:56,Salgado,Coxinha,1,9.22
163,2018-05-23 14:23:31,Bebida,Refrigerante,2,5.6
164,2023-10-14 16:18:38,Bolo de Pote,Bolo de pote brigadeiro,1,13.8
165,2022-05-29 16:19:00,Bolo de Festa,Bolo de aniversário morango,5,146.71
166,2016-10-18 19:42:21,Bolo Tradicional,Bolo de laranja,5,18.17
167,2018-05-29 19:46:56,Bolo Tradicional,Bolo de laranja,2,19.23
168,2025-09-05 21:13:37,Bolo Tradicional,Bolo de cenoura,2,19.94
169,2018-01-04 18:31:27,Bebida,Suco natural,1,3.96
170,2024-09-01 08:30:28,Bolo de Festa,Bolo de casamento,5,134.74
171,2022-11-29 08:40:15,Bolo de Pote,Bolo de pote churros,1,9.7
172,2024-07-09 16:36:59,Bolo Tradicional,Bolo de cenoura,1,15.08
173,2023-11-30 18:28:25,Bolo de Pote,Bolo de pote brigadeiro,1,12.54
174,2016-11-20 16:26:26,Salgado,Quibe,1,9.45
175,2018-07-01 18:43:54,Bolo de Festa,Bolo dois amores,2,82.08
176,2025-06-14 17:44:07,Bolo Tradicional,Bolo de milho,1,16.37
177,2017-04-18 20:09:11,Bolo Tradicional,Bolo de cenoura,2,22.5
178,2025-08-06 14:23:13,Bolo de Festa,Bolo dois amores,1,84.83
179,2024-02-01 18:15:37,Bolo Tradicional,Bolo de laranja,3,17.33
180,2024-03-24 14:22:20,Bolo Tradicional,Bolo de chocolate,2,17.24
181,2022-03-09 17:21:44,Salgado,Empada,2,5.19
182,2018-11-18 17:30:01,Bolo de Pote,Bolo de pote brigadeiro,2,11.01
183,2018-11-24 08:21:05,Salgado,Esfiha,3,6.81
184,2023-10-02 17:35:00,Bebida,Suco natural,1,5.95
185,2018-12-25 08:02:41,Bolo Tradicional,Bolo de cenoura,1,21.86
186,2021-12-17 17:47:11,Salgado,Empada,2,7.13
187,2018-03-23 16:56:07,Salgado,Coxinha,2,5.02
188,2022-06-06 08:25:11,Bolo de Festa,Bolo de aniversário morango,1,133.16
189,2018-12-10 11:49:15,Bolo de Pote,Bolo de pote prestígio,1,9.21
190,2025-07-27 12:48:46,Bolo Tradicional,Bolo de fubá,1,19.37
191,2020-07-29 12:14:28,Bolo de Pote,Bolo de pote morango,1,13.25
192,2019-08-12 16:19:00,Bolo de Festa,Bolo dois amores,4,80.8
193,2025-06-08 08:45:48,Bolo Tradicional,Bolo de chocolate,1,15.17
194,2018-07-30 13:08:37,Bolo Tradicional,Bolo de fubá,2,21.59
195,2023-08-15 14:53:05,Bolo de Pote,Bolo de pote brigadeiro,2,14.48
196,2024-03-06 15:57:33,Bolo Tradicional,Bolo de chocolate,1,24.46
197,2022-06-26 09:53:47,Bolo Tradicional,Bolo de laranja,1,15.47
198,2018-02-13 19:00:39,Bolo Tradicional,Bolo de laranja,1,16.77
199,2025-01-16 16:30:08,Bolo de Pote,Bolo de pote morango,2,14.11
200,2025-01-27 11:37:51,Bolo Tradicional,Bolo de laranja,1,15.84
201,2020-03-03 13:14:54,Bolo Tradicional,Bolo de fubá,1,23.25
202,2018-01-27 12:40:19,Bolo de Pote,Bolo de pote morango,1,12.06
203,2020-04-05 09:16:54,Bolo Tradicional,Bolo de fubá,1,20.3
204,2018-03-04 19:53:13,Bebida,Suco natural,1,4.77
205,2024-08-04 09:33:31,Bolo Tradicional,Bolo de fubá,1,17.45
206,2021-09-05 14:30:24,Bebida,Chá gelado,1,6.9
207,2020-12-08 16:34:02,Bolo de Festa,Bolo de aniversário morango,2,134.9
208,2018-09-20 18:58:54,Bolo Tradicional,Bolo de milho,1,19.36
209,2020-10-27 11:57:21,Bolo de Festa,Bolo floresta negra,2,111.74
210,2022-04-20 13:51:16,Bolo de Festa,Bolo de aniversário morango,2,129.03
211,2019-02-03 15:36:00,Bebida,Café expresso,3,5.31
212,2025-01-25 16:50:44,Bolo de Pote,Bolo de pote prestígio,1,14.35
213,2024-01-05 08:41:19,Bolo Tradicional,Bolo de cenoura,1,22.61
214,2019-11-08 14:00:35,Bolo Tradicional,Bolo de cenoura,3,19.29
215,2022-08-13 19:40:46,Bolo Tradicional,Bolo de laranja,3,21.79
216,2022-08-01 08:31:39,Salgado,Esfiha,1,6.34
217,2020-12-14 09:11:06,Bolo Tradicional,Bolo de cenoura,1,21.61
218,2025-02-13 17:42:47,Bolo Tradicional,Bolo de chocolate,3,16.45
219,2023-12-13 16:10:51,Bolo Tradicional,Bolo de chocolate,1,24.7
220,2023-01-17 09:36:46,Bolo Tradicional,Bolo de milho,3,19.91
221,2017-10-25 12:28:26,Bolo Tradicional,Bolo de milho,5,19.96
222,2018-05-01 13:16:05,Salgado,Esfiha,1,8.56
223,2025-07-29 18:35:59,Bolo de Pote,Bolo de pote churros,3,11.64
224,2018-12-03 12:52:28,Bolo de Pote,Bolo de pote morango,1,10.59
225,2022-03-16 21:50:47,Bolo Tradicional,Bolo de chocolate,2,18.96
226,2024-03-11 14:41:49,Bolo Tradicional,Bolo de fubá,1,16.25
227,2023-12-18 19:42:28,Bolo de Pote,Bolo de pote brigadeiro,1,14.24
228,2022-06-30 20:08:41,Bolo Tradicional,Bolo de laranja,2,20.11
229,2018-08-17 15:11:01,Bolo Tradicional,Bolo de fubá,1,16.65
230,2023-04-10 12:14:26,Bolo Tradicional,Bolo de laranja,4,21.1
231,2020-05-26 13:10:22,Bolo de Pote,Bolo de pote prestígio,1,10.36
232,2018-08-14 19:16:17,Bolo de Pote,Bolo de pote chocolate,1,9.67
233,2024-07-03 10:58:48,Bolo Tradicional,Bolo de fubá,1,15.78
234,2019-08-21 20:49:57,Bolo Tradicional,Bolo de laranja,3,24.25
235,2024-09-22 11:25:11,Bolo de Pote,Bolo de pote churros,1,9.97
236,2018-05-19 16:09:22,Bolo de Festa,Bolo floresta negra,3,100.11
237,2022-05-12 13:59:44,Bolo Tradicional,Bolo de fubá,1,24.37
238,2021-01-13 18:49:38,Bebida,Água mineral,1,4.92
239,2020-01-22 13:24:17,Bebida,Chá gelado,3,3.37
240,2023-10-14 14:45:07,Bolo de Pote,Bolo de pote brigadeiro,1,13.34
241,2019-09-06 08:37:14,Bolo de Pote,Bolo de pote morango,1,8.02
242,2018-05-02 19:30:28,Bolo de Festa,Bolo de aniversário chocolate,4,83.17
243,2020-01-27 10:25:22,Bolo de Pote,Bolo de pote prestígio,2,12.69
244,2021-08-22 10:56:33,Bebida,Refrigerante,2,4.22
245,2018-10-26 14:24:26,Bolo de Festa,Bolo de aniversário chocolate,3,90.91
246,2020-09-26 18:35:30,Bolo Tradicional,Bolo de fubá,1,22.78
247,2022-06-06 19:06:29,Bolo de Pote,Bolo de pote brigadeiro,3,13.02
248,2017-02-24 18:27:38,Bolo Tradicional,Bolo de cenoura,2,18.43
249,2019-12-12 15:19:44,Bebida,Refrigerante,2,3.95
250,2020-03-08 18:45:56,Bolo Tradicional,Bolo de fubá,1,24.05
251,2021-07-27 13:54:40,Bolo de Pote,Bolo de pote brigadeiro,4,10.4
252,2023-08-06 17:04:45,Bebida,Água mineral,2,4.09
253,2016-12-17 18:05:31,Bolo Tradicional,Bolo de cenoura,1,17.19
254,2024-10-21 12:41:14,Bolo de Pote,Bolo de pote churros,2,13.33
255,2022-01-17 18:16:52,Bolo Tradicional,Bolo de cenoura,1,18.32
256,2023-10-29 09:44:15,Bolo de Festa,Bolo dois amores,2,137.15
257,2025-05-05 17:32:35,Bolo Tradicional,Bolo de chocolate,5,23.39
258,2024-04-02 15:13:27,Bolo de Festa,Bolo de aniversário morango,1,111.97
259,2022-04-18 14:16:15,Salgado,Coxinha,4,5.77
260,2024-05-03 15:32:39,Bebida,Refrigerante,1,3.08
261,2021-11-18 17:14:15,Bolo Tradicional,Bolo de milho,1,17.92
262,2021-10-13 20:27:50,Bolo de Pote,Bolo de pote morango,1,14.12
263,2024-01-12 20:14:36,Bolo de Festa,Bolo dois amores,1,82.87
264,2022-02-12 10:02:41,Bolo de Festa,Bolo dois amores,2,111.31
265,2021-12-07 21:32:52,Bolo Tradicional,Bolo de laranja,3,17.56
266,2021-01-20 14:23:56,Bolo Tradicional,Bolo de fubá,1,21.41
267,2019-03-05 18:07:02,Bolo de Pote,Bolo de pote morango,1,9.25
268,2018-09-15 09:37:49,Bolo de Pote,Bolo de pote prestígio,2,10.56
269,2025-07-08 08:46:03,Bolo de Festa,Bolo de casamento,2,81.1
270,2025-01-22 08:13:18,Bolo Tradicional,Bolo de milho,4,15.39
271,2020-06-15 10:49:47,Bolo Tradicional,Bolo de fubá,1,19.48
272,2019-10-05 13:53:19,Bolo de Festa,Bolo de aniversário morango,4,107.53
273,2018-07-20 16:06:31,Bolo Tradicional,Bolo de laranja,1,15.68
274,2018-11-30 11:57:21,Salgado,Pão de queijo,1,7.42
275,2022-05-13 10:36:12,Bolo de Pote,Bolo de pote prestígio,5,13.48
276,2022-04-19 20:41:14,Bolo de Pote,Bolo de pote brigadeiro,1,12.33
277,2025-06-06 21:51:18,Salgado,Coxinha,2,8.19
278,2025-01-30 09:01:21,Bolo Tradicional,Bolo de chocolate,2,17.23
279,2024-10-06 20:49:30,Salgado,Quibe,1,6.47
280,2021-07-04 16:56:05,Bolo Tradicional,Bolo de chocolate,2,17.22
281,2017-06-07 18:51:04,Bolo de Pote,Bolo de pote morango,2,10.52
282,2022-09-24 16:38:06,Bebida,Café expresso,1,4.82
283,2017-09-27 16:44:50,Bolo Tradicional,Bolo de chocolate,2,16.85
284,2020-06-17 09:13:09,Bolo de Pote,Bolo de pote brigadeiro,4,11.11
285,2017-11-10 16:51:05,Bolo de Pote,Bolo de pote churros,1,11.91
286,2022-07-18 13:24:24,Bolo Tradicional,Bolo de milho,5,22.3
287,2017-11-17 12:51:28,Bolo Tradicional,Bolo de chocolate,1,22.97
288,2020-04-16 14:30:57,Bolo de Festa,Bolo floresta negra,1,109.24
289,2022-01-12 15:33:15,Bolo Tradicional,Bolo de milho,2,21.46
290,2023-03-16 12:06:09,Salgado,Esfiha,1,6.65
291,2023-02-08 19:13:50,Bolo de Pote,Bolo de pote morango,4,13.73
292,2017-09-01 08:34:48,Bebida,Chá gelado,3,5.02
293,2023-10-29 14:50:20,Bolo de Pote,Bolo de pote prestígio,3,9.08
294,2022-04-02 15:38:04,Bolo de Pote,Bolo de pote morango,2,10.18
295,2023-11-12 17:24:15,Bolo Tradicional,Bolo de milho,3,17.23
296,2024-01-18 12:05:45,Bolo Tradicional,Bolo de fubá,2,21.37
297,2020-06-24 09:58:20,Bolo Tradicional,Bolo de chocolate,1,17.33
298,2025-02-03 17:57:51,Bolo Tradicional,Bolo de cenoura,4,22.27
299,2021-04-14 10:39:33,Bolo Tradicional,Bolo de fubá,1,23.99
300,2021-09-27 12:41:39,Bolo Tradicional,Bolo de cenoura,1,21.99
301,2024-11-27 19:42:48,Bolo Tradicional,Bolo de chocolate,1,17.51
302,2025-02-13 16:18:36,Bolo de Pote,Bolo de pote brigadeiro,4,9.09
303,2018-01-30 19:48:51,Bolo Tradicional,Bolo de fubá,1,20.29
304,2020-08-21 08:05:35,Bolo Tradicional,Bolo de milho,1,20.2
305,2021-12-28 11:06:53,Bebida,Chá gelado,1,6.64
306,2018-03-25 11:50:20,Bolo de Pote,Bolo de pote churros,1,10.09
307,2019-07-26 17:56:18,Bolo de Festa,Bolo de casamento,1,138.65
308,2022-07-12 19:31:22,Bolo Tradicional,Bolo de chocolate,2,23.22
309,2020-10-21 18:02:42,Bolo Tradicional,Bolo de milho,1,22.44
310,2025-07-29 15:56:24,Bolo Tradicional,Bolo de chocolate,2,16.59
311,2020-12-26 19:30:18,Bolo Tradicional,Bolo de fubá,1,19.96
312,2021-03-27 21:17:17,Bolo Tradicional,Bolo de fubá,1,22.25
313,2018-03-28 08:56:42,Bolo Tradicional,Bolo de milho,3,20.35
314,2017-03-09 20:09:51,Bolo Tradicional,Bolo de cenoura,1,16.09
315,2023-12-19 08:40:58,Bolo de Festa,Bolo de aniversário morango,1,93.73
316,2023-01-09 19:49:01,Salgado,Esfiha,5,5.64
317,2024-07-22 14:42:50,Bolo de Festa,Bolo de aniversário morango,1,111.73
318,2019-01-20 11:12:14,Bebida,Refrigerante,1,3.21
319,2024-05-01 16:13:20,Bolo de Festa,Bolo de casamento,1,105.79
320,2023-12-04 12:02:24,Bebida,Refrigerante,1,4.68
321,2023-04-05 14:37:45,Bebida,Café expresso,1,5.59
322,2022-12-28 12:20:20,Bolo Tradicional,Bolo de milho,3,23.55
323,2023-12-05 18:06:13,Bolo de Pote,Bolo de pote morango,1,9.55
324,2019-06-04 21:11:06,Bolo de Pote,Bolo de pote brigadeiro,1,13.29
325,2017-06-23 21:52:27,Bolo Tradicional,Bolo de fubá,3,16.84
326,2023-11-30 11:20:25,Bolo Tradicional,Bolo de cenoura,1,21.14
327,2025-03-28 08:14:59,Bolo de Pote,Bolo de pote brigadeiro,1,12.1
328,2017-08-03 15:17:43,Bolo Tradicional,Bolo de laranja,2,21.95
329,2020-10-09 19:34:58,Salgado,Empada,1,9.35
330,2020-09-19 10:22:19,Bolo Tradicional,Bolo de fubá,1,23.98
331,2020-05-23 08:26:49,Bolo de Pote,Bolo de pote churros,2,11.77
332,2023-02-23 20:18:47,Bebida,Café expresso,4,4.83
333,2024-03-31 13:27:36,Bolo Tradicional,Bolo de fubá,1,24.94
334,2025-01-13 14:07:15,Bolo de Pote,Bolo de pote prestígio,2,12.17
335,2024-06-23 09:27:11,Bolo Tradicional,Bolo de chocolate,1,22.94
336,2021-02-08 09:48:22,Bolo Tradicional,Bolo de chocolate,1,17.77
337,2022-01-18 11:01:45,Bolo de Festa,Bolo de aniversário chocolate,1,123.87
338,2018-05-14 12:59:15,Bolo Tradicional,Bolo de milho,1,23.32
339,2017-04-27 12:59:57,Salgado,Quibe,1,5.01
340,2021-01-14 21:38:53,Salgado,Empada,5,6.04
341,2020-03-16 21:58:03,Bolo de Pote,Bolo de pote chocolate,4,10.92
342,2024-09-24 20:47:04,Bolo Tradicional,Bolo de chocolate,2,16.84
343,2018-10-29 18:51:40,Salgado,Empada,1,9.5
344,2018-08-28 20:52:31,Bolo de Festa,Bolo dois amores,2,127.31
345,2025-08-05 11:42:22,Bolo de Festa,Bolo dois amores,2,91.58
346,2019-12-01 11:49:21,Bolo Tradicional,Bolo de fubá,1,16.43
347,2017-09-08 12:39:14,Bolo de Festa,Bolo dois amores,1,132.55
348,2016-12-16 10:43:35,Bebida,Água mineral,1,6.02
349,2020-06-16 10:02:32,Bolo de Pote,Bolo de pote prestígio,1,9.34
350,2021-06-08 11:04:20,Bolo Tradicional,Bolo de laranja,1,18.79
351,2017-05-08 11:00:45,Bolo de Festa,Bolo dois amores,5,148.36
352,2020-12-05 14:08:39,Bolo de Pote,Bolo de pote prestígio,1,9.37
353,2022-06-16 15:16:23,Bolo Tradicional,Bolo de fubá,1,20.13
354,2025-06-12 21:14:25,Bolo de Festa,Bolo dois amores,5,138.16
355,2019-11-14 16:05:54,Salgado,Empada,1,7.24
356,2024-11-14 08:46:13,Bolo de Festa,Bolo de casamento,2,95.56
357,2018-09-06 11:48:08,Bolo Tradicional,Bolo de cenoura,1,15.41
